ID,sex,Group_birthorder,birthorder,Age18,Age24,VAR00004,momed,HI18Final,WS18Vocab,WS18VocabP,WS24Vocab,WS24VocabP,SumDursecAD,SumDurSecCleaned,ADCDScount,ADCDSsecs,ADCDSperhour,MEALDUR,NumPplMeal,Group_SIBpresent,GROUP_1orFamily,MOTpresentMeal,DADpresentMeal,SIBpresentMeal,OTHADpresentmeal,WordsAllMeal,CDSWCMeal,OHSWCMeal,CDSWCMealper,Allwords1minMeal,CDSWC1minMeal,CDSWCMealperhour,OHSWC1minMeal,ID7,C_CDSuncodable,C_totADUtts,C_totCDSUtts,C_CDSutt_min,CDSUttsMealperhour,C_CDS_UTTper,AllMealMLU,MealCDSMLU,MealOHSMLU,C_totConversationTalk,C_ConversationTalkPER,C_totBehaviorTalk,C_BehaviorTalkPER,C_totDirectives,C_totInstructions,C_totProhibitions,C_totDirect,C_totIndirect,C_DirectivesPerBT,C_InstructionsPerDIR,C_ProhibitionsPerDIR,C_DirectPerDIR,C_IndirectPerDIR,C_totFeedback,C_totInformFeedback,C_totNotInformFeedback,C_totPosFeedback,C_totNegFeedback,C_FeedbackPerBT,C_InformFeedbackPerFB,C_NotInformFeedbackPerFB,C_PosFeedbackPerFB,C_NegFeedbackPerFB,C_Rate_BehaviorTalk,C_Rate_Directives,C_Rate_Instructions,C_Rate_Prohibitions,C_Rate_Direct,C_Rate_Indirect,C_Rate_Feedback,C_Rate_PositiveFB,C_Rate_NegativeFB,C_Rate_InformativeFB,C_Rate_UninformativeFB,BTperhour,Directivesperhour,Instrperhour,Prohperhour,Directperhour,Indirperhour,Feedbackperhour,PosFBperhour,NegFBperhour,InformFBperhour,UninfFBperhour,VAR00016,totBTMLU,TotalDirMLU,InstructionsMLU,ProhibMLU,DirectMLU,IndirectMLU,TotFBMLU,InfFBMLU,UninfFBMLU,PosFBMLU,NegFBMLU
4943,0,1,2,18,24,4943,16,63,389,98,581,96,37075,36775,6669,23875,1005.587435,1500,3,1,1,1,1,1,0,887,655,232,0.7384,35.48,26.2,1572,9.28,4943,25,253,177,7.08,424.8,69.96047431,3.7618,3.507333333,4.1435,93,52.54237288,84,47.45762712,58,48,10,45,13,69.04761905,82.75862069,17.24137931,77.5862069,22.4137931,26,26,0,26,0,30.95238095,100,0,100,0,3.36,2.32,1.92,0.4,1.8,0.52,1.04,1.04,0,1.04,0,201.6,139.2,115.2,24,108,31.2,62.4,62.4,0,62.4,0,4943,3.425,3.561403509,3.25,5.222,2.977272727,5.538461538,3.086956522,2.086956522, ,2.086956522, 
6117,1,0,1,18,24,6117,18,59.5,251,85,548,89,30893,30893,14731,29661,1787.923536,2400,1,0,0,1,0,0,0,1213,1207,6,0.9951,30.325,30.175,1810.5,0.15,6117,9,336,323,8.075,484.5,96.13095238,2.5625,3.625,1.5,174,53.86996904,149,46.13003096,69,65,4,44,25,46.30872483,94.20289855,5.797101449,63.76811594,36.23188406,80,76,4,67,13,53.69127517,95,5,83.75,16.25,3.725,1.725,1.625,0.1,1.1,0.625,2,1.675,0.325,1.9,0.1,223.5,103.5,97.5,6,66,37.5,120,100.5,19.5,114,6,6117,3.637931034,4.204545455,4.025,6,2.708333333,6,3.291666667,2.279411765,3.5,2.203389831,3
6135,0,0,1,18,24,6135,18,66,16,15,333,65,52147.6167,44404.62,18632,35704.61667,1878.614028,1200,2,0,1,1,1,0,0,773,565,208,0.7309,38.65,28.25,1695,10.4,6135,18,204,138,6.9,414,67.64705882,4.10125,3.181,5.0215,87,63.04347826,51,36.95652174,42,35,7,30,12,82.35294118,83.33333333,16.66666667,71.42857143,28.57142857,9,9,0,9,0,17.64705882,100,0,100,0,2.55,2.1,1.75,0.35,1.5,0.6,0.45,0.45,0,0.45,0,153,126,105,21,90,36,27,27,0,27,0,6135,3.958333333,4.025,4.147,3.333,3.071428571,6.25,3.625,2.625, ,2.625, 
6152,0,1,3,18,24,6152,16,64.5,169,81,254,43,44926.6202,44326.62,4794,20488.02,842.3654409,900,2,0,1,1,0,0,1,313,280,33,0.8946,20.8667,18.6667,1120.002,2.2,6152,18,150,120,8,480,80,2.450666667,2.13,2.611,46,38.33333333,74,61.66666667,66,63,3,60,6,89.18918919,95.45454545,4.545454545,90.90909091,9.090909091,8,8,0,8,0,10.81081081,100,0,100,0,4.933333333,4.4,4.2,0.2,4,0.4,0.533333333,0.533333333,0,0.533333333,0,296,264,252,12,240,24,32,32,0,32,0,6152,2.280701754,2.12244898,2.065,3,2.02173913,3.666666667,3.25,2.25, ,2.25, 
6229,0,0,1,17,24,6229,18,66,265,95,553,93,48863.9982,37852,8924,31200,1029.692308,1200,1,0,0,1,0,0,0,267,267,0,1,13.35,13.35,801,0,6229,39,100,61,3.05,183,61,3.141,3.141, ,47,77.04918033,14,22.95081967,7,7,0,4,3,50,100,0,57.14285714,42.85714286,7,7,0,7,0,50,100,0,100,0,0.7,0.35,0.35,0,0.2,0.15,0.35,0.35,0,0.35,0,42,21,21,0,12,9,21,21,0,21,0,6229,3.764705882,4,3.571,4.75,3.142857143,5.5,3.333333333,2.333333333, ,2.333333333, 
6296,1,0,1,18,25,6296,16,63,249,84,501,81,27626.6,27626.6,13593,22770.6,2149.034281,1500,2,0,1,1,1,0,0,1102,694,408,0.6298,44.08,27.76,1665.6,16.32,6296,17,272,157,6.28,376.8,57.72058824,4.35975,3.8,4.9195,114,72.61146497,43,27.38853503,13,13,0,8,5,30.23255814,100,0,61.53846154,38.46153846,30,29,1,26,4,69.76744186,96.66666667,3.333333333,86.66666667,13.33333333,1.72,0.52,0.52,0,0.32,0.2,1.2,1.04,0.16,1.16,0.04,103.2,31.2,31.2,0,19.2,12,72,62.4,9.6,69.6,2.4,6296,3.733333333,4.636363636,4.636, ,3.666666667,5.8,3.210526316,2.277777778,2,2.333333333,2
6316,1,0,1,17,24,6316,16,63,256,85,576,92,33471,25671,6186,21891,1017.294779,1800,1,0,0,1,0,0,0,613,604,9,0.9853,20.4333,20.1333,1207.998,0.3,6316,13,184,166,5.533333333,332,90.2173913,6.2455,3.491,9,121,72.89156627,45,27.10843373,24,24,0,16,8,53.33333333,100,0,66.66666667,33.33333333,21,17,4,17,4,46.66666667,80.95238095,19.04761905,80.95238095,19.04761905,1.5,0.8,0.8,0,0.533333333,0.266666667,0.7,0.566666667,0.133333333,0.566666667,0.133333333,90,48,48,0,32,16,42,34,8,34,8,6316,3.119047619,3.666666667,3.667, ,2.615384615,5.375,2.571428571,1.647058824,2.2,1.647058824,2.25
6342,0,0,1,18,24,6342,18,66,191,85,546,93,48990,37890,7881,26190,1083.298969,2400,2,0,1,1,1,0,0,1474,858,616,0.5821,36.85,21.45,1287,15.4,6342,11,329,205,5.125,307.5,62.3100304,5.036,4.113,5.959,106,51.70731707,99,48.29268293,84,72,12,34,50,84.84848485,85.71428571,14.28571429,40.47619048,59.52380952,15,13,2,13,2,15.15151515,86.66666667,13.33333333,86.66666667,13.33333333,2.475,2.1,1.8,0.3,0.85,1.25,0.375,0.325,0.05,0.325,0.05,148.5,126,108,18,51,75,22.5,19.5,3,19.5,3,6342,3.850574713,4,3.8,5,2.689655172,4.88372093,3.133333333,2.153846154,3,1.818181818,3.5
6357,0,0,1,18,24,6357,18,66,31,25,106,20,49499,48899,8277,34702,858.6594433,1500,3,0,1,1,1,0,1,481,319,162,0.6632,19.24,12.76,765.6,6.48,6357,10,162,99,3.96,237.6,61.11111111,2.8412,2.571,3.2465,63,63.63636364,36,36.36363636,33,23,10,29,4,91.66666667,69.6969697,30.3030303,87.87878788,12.12121212,3,3,0,3,0,8.333333333,100,0,100,0,1.44,1.32,0.92,0.4,1.16,0.16,0.12,0.12,0,0.12,0,86.4,79.2,55.2,24,69.6,9.6,7.2,7.2,0,7.2,0,6357,2.709677419,2.689655172,2.524,3.125,2.444444444,6,3,2, ,2, 
6358,0,0,1,18,24,6358,18,66,371,97,590,96,33763,32955,21977,29355,2695.18651,2280,3,1,1,1,0,1,1,3023,2202,821,0.7284,79.5526,57.9474,3476.844,21.6053,6358,21,610,444,11.68421053,701.0526316,72.78688525,5.2895,4.718,5.861,300,67.56756757,144,32.43243243,91,78,13,28,63,63.19444444,85.71428571,14.28571429,30.76923077,69.23076923,53,53,0,53,0,36.80555556,100,0,100,0,3.789473684,2.394736842,2.052631579,0.342105263,0.736842105,1.657894737,1.394736842,1.394736842,0,1.394736842,0,227.3684211,143.6842105,123.1578947,20.52631579,44.21052632,99.47368421,83.68421053,83.68421053,0,83.68421053,0,6358,5.299145299,6.355263158,6.46,5.846,2.588235294,7.440677966,3.341463415,2.341463415, ,2.341463415, 
